MH 45  12% 3 reflex
 0.99949     0.00522
 0.99619     0.00498
 0.98620     0.00447
 0.96964     0.00416
 0.94694     0.00440
 0.91856     0.00533
 0.90105     0.00623
 0.88578     0.00783
 0.84779     0.01247
 0.80595     0.01833
 0.76114     0.02527
 0.71412     0.03289
 0.66556     0.04078
 0.61598     0.04850
 0.56580     0.05566
 0.51545     0.06201
 0.46530     0.06736
 0.41579     0.07161
 0.36738     0.07467
 0.32055     0.07645
 0.27575     0.07686
 0.23336     0.07583
 0.19371     0.07333
 0.15709     0.06940
 0.12381     0.06415
 0.09414     0.05771
 0.06831     0.05023
 0.04652     0.04188
 0.02885     0.03284
 0.01537     0.02334
 0.00605     0.01382
 0.00124     0.00435
 0.00044     0.00166
 0.00004     0.00011
 0.00000    -0.00004
 0.00020    -0.00060
 0.00073    -0.00192
 0.00158    -0.00367
 0.00333    -0.00614
 0.00558    -0.00825
 0.01773    -0.01545
 0.03413    -0.02190
 0.05523    -0.02784
 0.08077    -0.03303
 0.11056    -0.03716
 0.14452    -0.04018
 0.18243    -0.04214
 0.22400    -0.04312
 0.26883    -0.04319
 0.31646    -0.04242
 0.36639    -0.04089
 0.41809    -0.03870
 0.47098    -0.03602
 0.52443    -0.03295
 0.57780    -0.02961
 0.63044    -0.02610
 0.68169    -0.02253
 0.73091    -0.01901
 0.77750    -0.01565
 0.82090    -0.01255
 0.86059    -0.00982
 0.89605    -0.00747
 0.90000    -0.00721
 0.90302    -0.00686
 0.91192    -0.00582
 0.92671    -0.00408
 0.95232    -0.00106
 0.97257     0.00139
 0.98726     0.00336
 0.99634     0.00474
 0.99949     0.00522
