 DSMA-523A AIRFOIL
1.00000  0.00031
0.98000  0.00684
0.96000  0.01264
0.95000  0.01771
0.92000  0.02218
0.90000  0.02616
0.88000  0.02967
0.86000  0.03278
0.84000  0.03550
0.82000  0.03791
0.80000  0.04004
0.78000  0.04194
0.76000  0.04362
0.74000  0.04513
0.72000  0.04649
0.70000  0.04772
0.68000  0.04883
0.66000  0.04983
0.64000  0.05073
0.62000  0.05154
0.60000  0.05227
0.58000  0.05292
0.56000  0.05349
0.54000  0.05398
0.52000  0.05439
0.50000  0.05472
0.48000  0.05497
0.46000  0.05515
0.44000  0.05525
0.42000  0.05527
0.40000  0.05524
0.38000  0.05515
0.36000  0.05500
0.34000  0.05479
0.32000  0.05451
0.30000  0.05416
0.28000  0.05373
0.26000  0.05320
0.24000  0.05256
0.22000  0.05180
0.20000  0.05090
0.18000  0.04983
0.16000  0.04854
0.14000  0.04702
0.12000  0.04520
0.10000  0.04299
0.08000  0.04037
0.06000  0.03741
0.04000  0.03346
0.03000  0.03073
0.02000  0.02692
0.01500  0.02427
0.01250  0.02265
0.01000  0.02072
0.00750  0.01842
0.00509  0.01532
0.00250  0.01106
0.00100  0.00710
0.00050  0.00507
0.00000  0.00000
0.00050 -0.00510
0.00100 -0.00713
0.00250 -0.01108
0.00509 -0.01532
0.00750 -0.01842
0.01000 -0.02067
0.01250 -0.02255
0.01500 -0.02414
0.02000 -0.02674
0.03000 -0.03067
0.04000 -0.03361
0.06000 -0.03709
0.08000 -0.04174
0.10000 -0.04465
0.12000 -0.04680
0.14000 -0.04862
0.16000 -0.05011
0.18000 -0.05135
0.20000 -0.05237
0.22000 -0.05321
0.24000 -0.05389
0.26000 -0.05442
0.28000 -0.05481
0.30000 -0.05506
0.32000 -0.05516
0.34000 -0.05514
0.36000 -0.05498
0.38000 -0.05470
0.40000 -0.05428
0.42000 -0.05372
0.44000 -0.05301
0.46000 -0.05214
0.48000 -0.05114
0.50000 -0.04992
0.52000 -0.04848
0.54000 -0.04678
0.56000 -0.04461
0.58000 -0.04201
0.60000 -0.03889
0.62000 -0.03518
0.64000 -0.03094
0.66000 -0.02609
0.68000 -0.02063
0.70000 -0.01545
0.72000 -0.01057
0.74000 -0.00603
0.76000 -0.00187
0.78000  0.00189
0.80000  0.00522
0.82000  0.00811
0.84000  0.01051
0.86000  0.01237
0.88000  0.01364
0.90000  0.01417
0.92000  0.01380
0.95000  0.01234
0.96000  0.00973
0.98000  0.00577
1.00000  0.00050
