EH 1.0/9.0
1.00000  0.00000
0.99606  0.00015
0.99114  0.00041
0.98429  0.00087
0.97553  0.00153
0.96489  0.00238
0.95241  0.00341
0.93815  0.00461
0.92216  0.00597
0.90451  0.00752
0.88526  0.00925
0.86448  0.01116
0.84227  0.01324
0.81871  0.01548
0.79389  0.01787
0.76791  0.02038
0.74088  0.02300
0.71289  0.02571
0.68406  0.02849
0.65451  0.03131
0.62435  0.03414
0.59369  0.03694
0.56267  0.03968
0.53139  0.04232
0.50000  0.04483
0.46860  0.04715
0.43733  0.04924
0.40631  0.05106
0.37566  0.05257
0.34549  0.05372
0.31594  0.05447
0.28711  0.05479
0.25912  0.05466
0.23209  0.05404
0.20611  0.05294
0.18121  0.05134
0.15773  0.04926
0.13552  0.04671
0.11474  0.04372
0.09549  0.04034
0.07784  0.036610
0.06155  0.03258
0.04759  0.02832
0.03511  0.02389
0.02447  0.01939
0.01571  0.01491
0.00886  0.01062
0.00394  0.00667
0.00099  0.00315
0.00000  0.00000
0.00099 -0.00296
0.00394 -0.00593
0.00886 -0.00899
0.01571 -0.01208
0.02447 -0.01509
0.03511 -0.01793
0.04759 -0.02055
0.06155 -0.02293
0.07784 -0.02507
0.09549 -0.02698
0.11474 -0.02868
0.13552 -0.03016
0.15773 -0.03144
0.18129 -0.03253
0.20611 -0.03344
0.23209 -0.03417
0.25912 -0.03473
0.28711 -0.03512
0.31594 -0.03534
0.34549 -0.03539
0.37566 -0.03527
0.40631 -0.03497
0.43733 -0.03450
0.46960 -0.03384
0.50000 -0.03300
0.53139 -0.03197
0.56267 -0.03077
0.59363 -0.02939
0.62435 -0.02787
0.65451 -0.02620
0.68406 -0.02441
0.71289 -0.02251
0.74088 -0.02056
0.76791 -0.01856
0.79389 -0.01655
0.81871 -0.01456
0.84227 -0.01262
0.86448 -0.01076
0.88526 -0.00900
0.90451 -0.00738
0.92216 -0.00590
0.93815 -0.00457
0.95241 -0.00339
0.96489 -0.00238
0.97553 -0.00153
0.98429 -0.00087
0.99114 -0.00041
0.99606 -0.00015
1.00000  0.00000

0.07784  0.05661 => 0.07784  0.036610
