 GAW2 - THEORETICAL ORDINATES
   X         Y          
 0.0000    0.0000
 0.0020    0.0103
 0.0050    0.0163
 0.0125    0.0246
 0.0250    0.0336
 0.0375    0.0400
 0.0500    0.0451
 0.0750    0.0528
 0.1000    0.0588
 0.1250    0.0637
 0.1500    0.0677
 0.1750    0.0712
 0.2000    0.0742
 0.2500    0.0788
 0.3000    0.0820
 0.3500    0.0840
 0.4000    0.0849
 0.4500    0.0846
 0.5000    0.0833
 0.5500    0.0807
 0.5750    0.0789
 0.6000    0.0767
 0.6250    0.0739
 0.6500    0.0708
 0.6750    0.0672
 0.7000    0.0633
 0.7250    0.0591
 0.7500    0.0545
 0.7750    0.0497
 0.8000    0.0447
 0.8250    0.0395
 0.8500    0.0341
 0.8750    0.0285
 0.9000    0.0228
 0.9250    0.0170
 0.9500    0.0110
 0.9750    0.0049
 1.0000   -0.00015
  x          y
 0.0000    0.0000
 0.0020   -0.0066
 0.0050   -0.0097
 0.0125   -0.0144
 0.0250   -0.0188
 0.0375   -0.0223
 0.0500   -0.0250
 0.0750   -0.0294
 0.1000   -0.0328
 0.1250   -0.0357
 0.1500   -0.0380
 0.1750   -0.0398
 0.2000   -0.0415
 0.2500   -0.0438
 0.3000   -0.0449
 0.3500   -0.0452
 0.4000   -0.0449
 0.4500   -0.0437
 0.5000   -0.0417
 0.5500   -0.0386
 0.5750   -0.0362
 0.6000   -0.0337
 0.6250   -0.0307
 0.6500   -0.0276
 0.6750   -0.0243
 0.7000   -0.0210
 0.7250   -0.0175
 0.7500   -0.0143
 0.7750   -0.0110
 0.8000   -0.0078
 0.8250   -0.0051
 0.8500   -0.0028
 0.8750   -0.0012
 0.9000    0.0000
 0.9250    0.0001
 0.9500   -0.0007
 0.9750   -0.0028
 1.0000   -0.0071
