 HSNLF(1)-0213 Drooped Leading Edge   -   Shahab Hasan
  UPPER SURFACE
 -0.02000  -0.00988
 -0.01975  -0.00792
 -0.01950  -0.00636
 -0.01900  -0.00575
 -0.01850  -0.00467
 -0.01800  -0.00369
 -0.01750  -0.00279
 -0.01500   0.00106
 -0.01000   0.00686
  0.00000   0.01468
  0.01000   0.02075
  0.02000   0.02584
  0.03000   0.03024
  0.04000   0.03407
  0.05000   0.03749
  0.06000   0.04054
  0.08000   0.04576
  0.09000   0.04804
  0.10000   0.05013
  0.12500   0.05480
  0.15000   0.05876
  0.15759   0.05985
  0.17119   0.06166
  0.19963   0.06494
  0.21445   0.06641
  0.24519   0.06901
  0.27723   0.07110
  0.29370   0.07195
  0.31042   0.07266
  0.34457   0.07365
  0.36193   0.07392
  0.37942   0.07405
  0.39705   0.07402
  0.41481   0.07384
  0.43267   0.07350
  0.45056   0.07299
  0.48633   0.07147
  0.50416   0.07043
  0.52193   0.06920
  0.55725   0.06605
  0.57474   0.06411
  0.60918   0.05940
  0.62604   0.05664
  0.64263   0.05362
  0.67493   0.04699
  0.70586   0.03996
  0.73539   0.03300
  0.75006   0.02953
  0.77995   0.02256
  0.79503   0.01914
  0.84008   0.00941
  0.86896   0.00372
  0.88077   0.00154
  0.90712  -0.00298
  0.94150  -0.00812
  0.96027  -0.01057
  0.97556  -0.01244
  0.98718  -0.01380
  1.00000  -0.01528
 LOWER SURFACE
 -0.02000  -0.00988
 -0.01975  -0.01157
 -0.01950  -0.01285
 -0.01900  -0.01332
 -0.01850  -0.01410
 -0.01800  -0.01475
 -0.01750  -0.01531
 -0.01500  -0.01741
 -0.01000  -0.02007
  0.00000  -0.02329
  0.01000  -0.02540
  0.02000  -0.02697
  0.03000  -0.02824
  0.04000  -0.02934
  0.05000  -0.03033
  0.06000  -0.03126
  0.08000  -0.03307
  0.09000  -0.03399
  0.10000  -0.03494
  0.12500  -0.03745
  0.15000  -0.04014
  0.15759  -0.04088
  0.17119  -0.04242
  0.19963  -0.04532
  0.21445  -0.04670
  0.24519  -0.04933
  0.27723  -0.05174
  0.29370  -0.05286
  0.31042  -0.05392
  0.34457  -0.05583
  0.36193  -0.05667
  0.37942  -0.05741
  0.39705  -0.05807
  0.41481  -0.05864
  0.43267  -0.05911
  0.45056  -0.05948
  0.48633  -0.05990
  0.50416  -0.06000
  0.52193  -0.06003
  0.55725  -0.05969
  0.57474  -0.05933
  0.60918  -0.05821
  0.62604  -0.05743
  0.64263  -0.05645
  0.67493  -0.05385
  0.70586  -0.05002
  0.73539  -0.04450
  0.75006  -0.04115
  0.77995  -0.03565
  0.79503  -0.03365
  0.84008  -0.02890
  0.86896  -0.02630
  0.88077  -0.02535
  0.90712  -0.02315
  0.94150  -0.02040
  0.96027  -0.01895
  0.97556  -0.01800
  0.98718  -0.01750
  1.00000  -0.01660
