K3311  (original)
1.00000  0.00000
0.95000  0.01043
0.90000  0.02009
0.85000  0.02931
0.80000  0.03842
0.75000  0.04670
0.70000  0.05476
0.65000  0.06170
0.60000  0.06895
0.55000  0.07485
0.50000  0.07966
0.45000  0.08347
0.40000  0.08618
0.35000  0.08702
0.30000  0.08595
0.25000  0.08310
0.20000  0.07776
0.15000  0.06966
0.10000  0.05748
0.08000  0.05130
0.06000  0.04412
0.04000  0.03498
0.02000  0.02327
0.01000  0.01563
0.00000  0.00000
0.01000 -0.01036
0.02000 -0.01285
0.04000 -0.01635
0.06000 -0.01896
0.08000 -0.02045
0.10000 -0.02169
0.15000 -0.02387
0.20000 -0.02492
0.25000 -0.02468
0.30000 -0.02405
0.35000 -0.02260
0.40000 -0.02113
0.45000 -0.01883
0.50000 -0.01608
0.55000 -0.01327
0.60000 -0.01053
0.65000 -0.00812
0.70000 -0.00592
0.75000 -0.00396
0.80000 -0.00232
0.85000 -0.00121
0.90000 -0.00051
0.95000 -0.00054
1.00000  0.00000
