Airfoil 65-14-08,    Peter MacMillin
  86.
  76.
Upper surface data
   0.00000   0.04361
   0.00030   0.04611
   0.00121   0.04859
   0.00283   0.05107
   0.00516   0.05362
   0.00817   0.05624
   0.01182   0.05893
   0.01608   0.06166
   0.02095   0.06441
   0.02643   0.06715
   0.03249   0.06987
   0.03915   0.07253
   0.04640   0.07514
   0.05424   0.07767
   0.06269   0.08011
   0.07173   0.08247
   0.08236   0.08474
   0.09158   0.08692
   0.10237   0.08902
   0.11372   0.09104
   0.12561   0.09298
   0.13802   0.09483
   0.15092   0.09659
   0.16431   0.09827
   0.17815   0.09985
   0.19243   0.10134
   0.20712   0.10272
   0.22200   0.10401
   0.23764   0.10518
   0.25343   0.10624
   0.26953   0.10719
   0.28592   0.10801
   0.30259   0.10871
   0.31949   0.10928
   0.33661   0.10972
   0.35392   0.11002
   0.37139   0.11016
   0.38899   0.11019
   0.40671   0.11006
   0.42451   0.10977
   0.44237   0.10933
   0.46025   0.10871
   0.47814   0.10793
   0.49599   0.10695
   0.51380   0.10578
   0.53152   0.10439
   0.54917   0.10275
   0.56674   0.10083
   0.58427   0.09864
   0.60179   0.09621
   0.61930   0.09358
   0.63678   0.09079
   0.65420   0.08790
   0.67153   0.08491
   0.68874   0.08187
   0.70578   0.07880
   0.72262   0.07570
   0.73924   0.07261
   0.75558   0.06952
   0.77161   0.06646
   0.78731   0.06343
   0.80264   0.06043
   0.81757   0.05749
   0.83206   0.05459
   0.84611   0.05176
   0.85967   0.04899
   0.87272   0.04630
   0.88524   0.04368
   0.89720   0.04114
   0.90859   0.03869
   0.91938   0.03634
   0.92956   0.03408
   0.93911   0.03192
   0.94801   0.02988
   0.95624   0.02794
   0.96380   0.02613
   0.97067   0.02445
   0.97683   0.02290
   0.98228   0.02148
   0.98702   0.02022
   0.99102   0.01991
   0.99428   0.01816
   0.99679   0.01737
   0.99857   0.01675
   0.99965   0.01634
   1.00000   0.01619
Lower surface data
   0.00000   0.04361
   0.00026   0.04117
   0.00106   0.03887
   0.00243   0.03680
   0.00442   0.03507
   0.00721   0.03371
   0.01088   0.03260
   0.01544   0.03166
   0.02084   0.03085
   0.02707   0.03015
   0.03412   0.02956
   0.04195   0.02907
   0.05057   0.02866
   0.05995   0.02833
   0.07008   0.02807
   0.08094   0.02788
   0.09251   0.02775
   0.10477   0.02767
   0.11770   0.02765
   0.13128   0.02767
   0.14549   0.02774
   0.16029   0.02785
   0.17568   0.02799
   0.19162   0.02816
   0.20809   0.02835
   0.22506   0.02858
   0.24250   0.02882
   0.26038   0.02908
   0.27868   0.02936
   0.29737   0.02964
   0.31641   0.02994
   0.33578   0.03024
   0.35545   0.03055
   0.37538   0.03085
   0.39554   0.03116
   0.41591   0.03145
   0.43644   0.03174
   0.45711   0.03201
   0.47789   0.03227
   0.49875   0.03251
   0.51964   0.03273
   0.54055   0.03291
   0.56143   0.03307
   0.58226   0.03318
   0.60299   0.03325
   0.62361   0.03328
   0.64407   0.03324
   0.66435   0.03314
   0.68440   0.03297
   0.70419   0.03272
   0.72369   0.03238
   0.74287   0.03195
   0.76167   0.03140
   0.78007   0.03075
   0.79802   0.02997
   0.81549   0.02906
   0.83242   0.02801
   0.84877   0.02683
   0.86451   0.02550
   0.87957   0.02404
   0.89391   0.02245
   0.90749   0.02074
   0.92026   0.01892
   0.93217   0.01702
   0.94319   0.01506
   0.95327   0.01306
   0.96239   0.01107
   0.97053   0.00913
   0.97767   0.00727
   0.98378   0.00553
   0.98889   0.00397
   0.99301   0.00263
   0.99616   0.00151
   0.99833   0.00066
   0.99958   0.00016
   1.00000   0.00000
