AIRFOIL 65-15-10            KEVIN K. MARTIN
UPPER SURFACE
   0.00000    .03915
    .00019    .03646
    .00105    .03378
    .00251    .03115
    .00461    .02868
    .00742    .02632
    .01087    .02407
    .01494    .02202
    .01972    .02025
    .02532    .01875
    .03181    .01743
    .03915    .01618
    .04728    .01499
    .05617    .01386
    .06581    .01280
    .07618    .01178
    .08724    .01080
    .09898    .00986
    .11136    .00896
    .12437    .00810
    .13797    .00727
    .15215    .00649
    .16687    .00575
    .18210    .00506
    .19783    .00441
    .21403    .00381
    .23066    .00326
    .24770    .00277
    .26513    .00233
    .28291    .00196
    .30101    .00165
    .31942    .00140
    .33810    .00123
    .35702    .00114
    .37616    .00111
    .39549    .00117
    .41499    .00131
    .43463    .00154
    .45438    .00184
    .47422    .00223
    .49412    .00271
    .51406    .00326
    .53402    .00389
    .55397    .00460
    .57389    .00538
    .59375    .00622
    .61353    .00711
    .63321    .00805
    .65277    .00903
    .67217    .01003
    .69140    .01103
    .71043    .01203
    .72923    .01301
    .74777    .01394
    .76602    .01481
    .78396    .01559
    .80154    .01627
    .81873    .01681
    .83548    .01720
    .85176    .01742
    .86751    .01744
    .88268    .01724
    .89721    .01680
    .91103    .01612
    .92407    .01518
    .93625    .01401
    .94750    .01261
    .95775    .01103
    .96691    .00934
    .97495    .00759
    .98185    .00587
    .98759    .00426
    .99219    .00283
    .99569    .00165
    .99812    .00075
    .99954    .00019
   1.00000   0.00000
LOWER SURFACE
    .00000    .03915
    .00050    .04187
    .00170    .04460
    .00361    .04738
    .00618    .05020
    .00940    .05305
    .01324    .05590
    .01771    .05871
    .02279    .06146
    .02850    .06412
    .03486    .06665
    .04191    .06907
    .04968    .07139
    .05813    .07366
    .06725    .07589
    .07701    .07807
    .08738    .08021
    .09833    .08230
    .10986    .08432
    .12193    .08629
    .13452    .08819
    .14762    .09000
    .16120    .09174
    .17524    .09339
    .18972    .09495
    .20462    .09641
    .21991    .09777
    .23557    .09901
    .25157    .10015
    .26790    .10116
    .28452    .10206
    .30141    .10282
    .31855    .10346
    .33591    .10396
    .35347    .10432
    .37119    .10454
    .38906    .10461
    .40705    .10453
    .42513    .10430
    .44328    .10391
    .46146    .10337
    .47966    .10267
    .49785    .10181
    .51599    .10078
    .53406    .09957
    .55203    .09819
    .56989    .09661
    .58761    .09482
    .60519    .09282
    .62264    .09060
    .63995    .08817
    .65712    .08556
    .67413    .08278
    .69096    .07986
    .70759    .07682
    .72401    .07367
    .74018    .07044
    .75607    .06713
    .77168    .06377
    .78696    .06036
    .80190    .05693
    .81647    .05349
    .83064    .05005
    .84440    .04662
    .85771    .04323
    .87056    .03987
    .88293    .03656
    .89478    .03332
    .90610    .03016
    .91686    .02709
    .92706    .02412
    .93666    .02126
    .94565    .01852
    .95402    .01592
    .96174    .01347
    .96879    .01117
    .97517    .00905
    .98085    .00711
    .98583    .00536
    .99009    .00383
    .99360    .00253
    .99637    .00147
    .99837    .00068
    .99959    .00018
   1.00000    .00000
