NASA 70-10-13 AIRFOIL (SUPERCRITICAL),  Sean Lynn
UPPER SURFACE X,Y
    .00000    .02019
    .00008    .02334
    .00081    .02647
    .00220    .02957
    .00425    .03259
    .00701    .03552
    .01053    .03839
    .01479    .04124
    .01974    .04408
    .02538    .04690
    .03168    .04968
    .03862    .05241
    .04620    .05508
    .05442    .05768
    .06325    .06019
    .07270    .06260
    .08275    .06491
    .09342    .06712
    .10467    .06921
    .11652    .07120
    .12894    .07309
    .14192    .07488
    .15543    .07658
    .16946    .07820
    .18397    .07972
    .19894    .08116
    .21435    .08251
    .23017    .08376
    .24637    .08492
    .26292    .08598
    .27981    .08695
    .29699    .08781
    .31445    .08857
    .33215    .08922
    .35007    .08976
    .36818    .09019
    .38644    .09051
    .40483    .09070
    .42332    .09077
    .44189    .09071
    .46049    .09052
    .47911    .09019
    .49772    .08972
    .51629    .08910
    .53480    .08833
    .55322    .08741
    .57153    .08632
    .58970    .08506
    .60771    .08362
    .62555    .08198
    .64322    .08012
    .66074    .07805
    .67813    .07580
    .69538    .07340
    .71247    .07091
    .72938    .06836
    .74606    .06577
    .76248    .06318
    .77859    .06060
    .79435    .05804
    .80974    .05551
    .82472    .05302
    .83925    .05059
    .85330    .04821
    .86685    .04589
    .87986    .04364
    .89231    .04146
    .90418    .03936
    .91544    .03733
    .92607    .03539
    .93605    .03354
    .94536    .03179
    .95399    .03013
    .96192    .02857
    .96913    .02712
    .97561    .02578
    .98135    .02457
    .98633    .02349
    .99054    .02254
    .99396    .02172
    .99660    .02102
    .99849    .02047
    .99962    .02009
   1.00000    .01995
LOWER SURFACE X,Y
    .00000    .02019
    .00056    .01707
    .00179    .01400
    .00371    .01097
    .00631    .00800
    .00958    .00510
    .01357    .00229
    .01826   -.00047
    .02365   -.00318
    .02971   -.00584
    .03643   -.00845
    .04378   -.01098
    .05175   -.01344
    .06033   -.01581
    .06951   -.01808
    .07927   -.02023
    .08961   -.02225
    .10051   -.02414
    .11198   -.02589
    .12399   -.02750
    .13655   -.02896
    .14962   -.03028
    .16321   -.03144
    .17729   -.03247
    .19184   -.03335
    .20684   -.03409
    .22228   -.03470
    .23811   -.03517
    .25432   -.03551
    .27088   -.03571
    .28775   -.03577
    .30490   -.03569
    .32231   -.03545
    .33995   -.03504
    .35779   -.03445
    .37582   -.03366
    .39401   -.03267
    .41236   -.03146
    .43086   -.03003
    .44949   -.02836
    .46827   -.02647
    .48718   -.02435
    .50622   -.02202
    .52539   -.01948
    .54469   -.01676
    .56412   -.01388
    .58367   -.01088
    .60334   -.00778
    .62311   -.00464
    .64297   -.00149
    .66289    .00159
    .68238    .00456
    .70276    .00737
    .72261    .00996
    .74232    .01227
    .76181    .01426
    .78101    .01591
    .79981    .01719
    .81815    .01810
    .83593    .01864
    .85308    .01882
    .86952    .01865
    .88519    .01816
    .90003    .01738
    .91398    .01634
    .92698    .01508
    .93898    .01362
    .94995    .01202
    .95984    .01033
    .96863    .00860
    .97630    .00689
    .98285    .00527
    .98829    .00378
    .99265    .00249
    .99595    .00143
    .99824    .00065
    .99957    .00017
   1.00000    .00000
