   MS(1)-0313 - masoud
  UPPER SURFACE
   0.00000   0.00100
   0.00200   0.00950
   0.00500   0.01510
   0.01250   0.02430
   0.02500   0.03450
   0.03750   0.04180
   0.07500   0.05520
   0.10000   0.06060
   0.25000   0.07670
   0.35000   0.08010
   0.37500   0.08030
   0.45000   0.07950
   0.60000   0.07060
   0.65000   0.06490
   0.75000   0.04940
   0.80000   0.04020
   0.85000   0.03030
   0.90000   0.02010
   0.95000   0.00980
   0.97500   0.00470
   1.00000  -0.00050
  LOWER SURFACE
   0.00000   0.00100
   0.00200  -0.00630
   0.00500  -0.00990
   0.01250  -0.01530
   0.02500  -0.02060
   0.03750  -0.02440
   0.07500  -0.03230
   0.10000  -0.03610
   0.25000  -0.04850
   0.35000  -0.05090
   0.37500  -0.05110
   0.45000  -0.04980
   0.60000  -0.03930
   0.65000  -0.03330
   0.75000  -0.01960
   0.80000  -0.01280
   0.85000  -0.00730
   0.90000  -0.00350
   0.95000  -0.00250
   0.97500  -0.00350
   1.00000  -0.00610
