20-32C AIRFOIL
1.00000  0.00160
0.95000  0.01240
0.90000  0.02290
0.80000  0.04280
0.70000  0.06100
0.60000  0.07710
0.50000  0.09050
0.40000  0.10020
0.30000  0.10480
0.25000  0.10440
0.20000  0.10130
0.15000  0.09340
0.10000  0.07800
0.07500  0.06640
0.05000  0.05130
0.02500  0.03170
0.01250  0.01930
0.00000  0.00000
0.01250 -0.00500
0.02500 -0.00420
0.05000 -0.00100
0.07500  0.00280
0.10000  0.00680
0.15000  0.01450
0.20000  0.02170
0.25000  0.02820
0.30000  0.03330
0.40000  0.03850
0.50000  0.03860
0.60000  0.03500
0.70000  0.02860
0.80000  0.02020
0.90000  0.01000
0.95000  0.00440
1.00000 -0.00160
