10% THICK NASA SUPERCRITICAL
     X               Y
0.9900    -0.0016
0.9750      0.0035
0.9500      0.0103
0.9250      0.0167
0.9000      0.0220
0.8750      0.0264
0.8500      0.0300
0.8250      0.0332
0.8000      0.0359
0.7750      0.0382
0.7500      0.0401
0.7250      0.0419
0.7000      0.0433
0.6750      0.0445
0.6500      0.0456
0.6250      0.0465
0.6000      0.0474
0.5750      0.0480
0.5500      0.0485
0.5000      0.0494
0.4500      0.0499
0.4000      0.0500
0.3500      0.0498
0.3000      0.0491
0.2500      0.0479
0.2000      0.0461
0.1750      0.0448
0.1500      0.0433
0.1250      0.0415
0.1000      0.0389
0.0750      0.0358
0.0500      0.0314
0.0375      0.0286
0.0250      0.0250
0.0125      0.0196
0.0075      0.0160
0.0000      0.0000
   X                 Y
0.0075    -0.0165
0.0125    -0.0201
0.0250    -0.0259
0.0375    -0.0299
0.0500    -0.0329
0.0750    -0.0374
0.1000    -0.0407
0.1250    -0.0432
0.1500    -0.0451
0.1750    -0.0465
0.2000    -0.0476
0.2500    -0.0491
0.3000    -0.0498
0.3500    -0.0500
0.4000    -0.0494
0.4500    -0.0485
0.5000    -0.0468
0.5500    -0.0440
0.5750    -0.0420
0.6000    -0.0393
0.6250    -0.0357
0.6500    -0.0310
0.6750    -0.0255
0.7000    -0.0200
0.7250    -0.0125
0.7500    -0.0109
0.7750    -0.0072
0.8000    -0.0041
0.8250    -0.0014
0.8500      0.0005
0.8750      0.0015
0.9000      0.0016
0.9250      0.0004
0.9500    -0.0026
0.9750    -0.0073
0.9900    -0.0120
1.0000    -0.0157
