   SC(2)-0712(B) - masoud
  UPPER SURFACE
   0.00000   0.00000
   0.00200   0.00920
   0.00500   0.01410
   0.01000   0.01900
   0.02000   0.02520
   0.03000   0.02940
   0.04000   0.03270
   0.05000   0.03540
   0.07000   0.03970
   0.08000   0.04150
   0.10000   0.04460
   0.12000   0.04710
   0.15000   0.05040
   0.18000   0.05300
   0.20000   0.05440
   0.25000   0.05720
   0.28000   0.05840
   0.30000   0.05900
   0.33000   0.05960
   0.35000   0.05990
   0.37000   0.06010
   0.40000   0.06010
   0.42000   0.06000
   0.45000   0.05960
   0.48000   0.05900
   0.50000   0.05840
   0.53000   0.05730
   0.55000   0.05640
   0.58000   0.05490
   0.60000   0.05370
   0.63000   0.05160
   0.65000   0.05000
   0.67000   0.04820
   0.70000   0.04510
   0.73000   0.04160
   0.75000   0.03900
   0.77000   0.03620
   0.80000   0.03160
   0.83000   0.02660
   0.85000   0.02300
   0.87000   0.01920
   0.91000   0.01310
   0.92000   0.00880
   0.95000   0.00180
   0.96000  -0.00070
   0.97000  -0.00330
   0.98000  -0.00600
   0.99000  -0.00880
   1.00000  -0.01170
  LOWER SURFACE
   0.00000   0.00000
   0.00200  -0.00510
   0.00500  -0.00810
   0.01000  -0.01160
   0.02000  -0.01650
   0.03000  -0.02040
   0.04000  -0.02380
   0.05000  -0.02660
   0.07000  -0.03160
   0.08000  -0.03380
   0.10000  -0.03770
   0.12000  -0.04120
   0.15000  -0.04580
   0.18000  -0.04980
   0.20000  -0.05210
   0.25000  -0.05660
   0.28000  -0.05850
   0.30000  -0.05950
   0.33000  -0.06050
   0.35000  -0.06090
   0.37000  -0.06100
   0.40000  -0.06080
   0.42000  -0.06000
   0.45000  -0.05910
   0.48000  -0.05730
   0.50000  -0.05580
   0.53000  -0.05300
   0.55000  -0.05090
   0.58000  -0.04720
   0.60000  -0.04460
   0.63000  -0.04190
   0.65000  -0.03760
   0.67000  -0.03310
   0.70000  -0.02990
   0.73000  -0.02670
   0.75000  -0.02210
   0.77000  -0.01910
   0.80000  -0.01490
   0.83000  -0.01230
   0.85000  -0.00880
   0.87000  -0.00590
   0.91000  -0.00490
   0.92000  -0.00550
   0.95000  -0.00740
   0.96000  -0.00880
   0.97000  -0.01050
   0.98000  -0.01260
   0.99000  -0.01500
   1.00000  -0.01770
