USA 35a amélioré JCE/Tracfoil	
1.000000	0.002150
0.983067	0.007997
0.966128	0.013827
0.949190	0.019660
0.936527	0.024030
0.923859	0.028388
0.911180	0.032709
0.898480	0.036970
0.873274	0.045166
0.847977	0.053082
0.822609	0.060775
0.797190	0.068300
0.771974	0.075628
0.746716	0.082804
0.721405	0.089788
0.696030	0.096540
0.662500	0.105012
0.628839	0.112949
0.595050	0.120290
0.569951	0.125316
0.544789	0.130023
0.519570	0.134450
0.494300	0.138640
0.469246	0.142558
0.444143	0.146117
0.418986	0.149153
0.393770	0.151500
0.368809	0.153017
0.343800	0.153753
0.318758	0.153760
0.293700	0.153090
0.260285	0.151128
0.227045	0.147558
0.194160	0.141890
0.181685	0.139067
0.169286	0.135897
0.156962	0.132414
0.144710	0.128650
0.132150	0.124485
0.119724	0.119959
0.107488	0.114973
0.095500	0.109430
0.089231	0.106215
0.083062	0.102810
0.077004	0.099213
0.071070	0.095420
0.062740	0.089605
0.054671	0.083425
0.046840	0.076930
0.040535	0.071350
0.034407	0.065580
0.028485	0.059613
0.022800	0.053440
0.019635	0.049769
0.016584	0.045999
0.013674	0.042102
0.010930	0.038050
0.005993	0.029268
0.002255	0.019890
0.000123	0.010080
0.000000	0.000000
0.002222	-0.010080
0.006783	-0.019270
0.013590	-0.026540
0.016522	-0.028480
0.019665	-0.030110
0.022958	-0.031470
0.026340	-0.032620
0.032547	-0.034280
0.038826	-0.035500
0.045157	-0.036370
0.051520	-0.036980
0.057772	-0.037390
0.064031	-0.037670
0.070295	-0.037840
0.076560	-0.037950
0.084897	-0.038020
0.093234	-0.038040
0.101570	-0.038020
0.114063	-0.037930
0.126556	-0.037760
0.139045	-0.037480
0.151530	-0.037060
0.164006	-0.036470
0.176476	-0.035770
0.188944	-0.035000
0.201410	-0.034210
0.226347	-0.032680
0.251287	-0.031220
0.276228	-0.029810
0.301170	-0.028410
0.334424	-0.026490
0.367675	-0.024490
0.400920	-0.022400
0.425853	-0.020760
0.450787	-0.019130
0.475724	-0.017590
0.500670	-0.016200
0.525619	-0.015010
0.550577	-0.013970
0.575538	-0.013020
0.600500	-0.012090
0.625459	-0.011100
0.650417	-0.010080
0.675373	-0.009030
0.700330	-0.007980
0.733608	-0.006610
0.766890	-0.005400
0.800180	-0.004470
0.825165	-0.004000
0.850152	-0.003660
0.875141	-0.003380
0.900130	-0.003060
0.912620	-0.002860
0.925110	-0.002650
0.937600	-0.002450
0.950090	-0.002300
0.962567	-0.002190
0.975044	-0.002130
0.987522	-0.002120
1.000000	0.002150

Modif rfile 120points	
