VariEze Winglet Tip    Jerome H. Guynn
   UPPER SURFACE
   0.00000   0.00000
   0.00430   0.01570
   0.00710   0.02140
   0.01430   0.02860
   0.02860   0.03710
   0.04290   0.04430
   0.05700   0.05000
   0.08570   0.06140
   0.11430   0.07140
   0.17140   0.08570
   0.22860   0.09860
   0.28570   0.10710
   0.34290   0.11290
   0.40000   0.11290
   0.45710   0.11930
   0.51430   0.11930
   0.57140   0.11000
   0.62860   0.10140
   0.68570   0.09140
   0.74290   0.07710
   0.80000   0.05860
   0.85710   0.04000
   0.91430   0.01860
   0.97140  -0.00430
   1.00000  -0.01430
   LOWER SURFACE
   0.00000   0.00000
   0.00430  -0.01570
   0.00710  -0.02140
   0.01430  -0.03000
   0.02860  -0.03710
   0.04290  -0.04140
   0.05710  -0.04290
   0.08570  -0.04570
   0.11430  -0.04860
   0.17140  -0.05000
   0.22860  -0.05290
   0.28570  -0.05140
   0.34290  -0.04860
   0.40000  -0.04570
   0.45710  -0.04290
   0.51430  -0.03570
   0.57140  -0.02860
   0.62860  -0.02290
   0.68570  -0.01860
   0.74290  -0.01570
   0.80000  -0.01430
   0.85710  -0.01290
   0.91430  -0.01140
   0.97140  -0.01290
   1.00000  -0.01430
