E591    /tracfoil
1.0000 0.0000
.99670 .00151
.98763 .00596
.97400 .01261
.95603 .02021
.93329 .02833
.90580 .03709
.87400 .04649
.83835 .05635
.79931 .06650
.75738 .07674
.71308 .08683
.66693 .09655
.61945 .10567
.57115 .11396
.52254 .12120
.47411 .12720
.42634 .13177
.37968 .13476
.33458 .13601
.29138 .13535
.25036 .13275
.21180 .12821
.17596 .12177
.14305 .11353
.11326 .10364
.08675 .09230
 0.063640 0.079720  
 0.056939 0.075454  
 0.050395 0.070952  
 0.044030 0.066200  
 0.039856 0.062854  
 0.035783 0.059386  
 0.031821 0.055792  
 0.027980 0.052070  
 0.023597 0.047484  
 0.019428 0.042703  
 0.015500 0.037720  
 0.012291 0.033192  
 0.009330 0.028500  
 0.006660 0.023640  
 0.004635 0.019336  
 0.002898 0.014906  
 0.001490 0.010350  
 0.000876 0.007793  
 0.000403 0.005208  
 0.000102 0.002607  
 0.000000 0.000000  
 0.000005 -0.000485  
 0.000019 -0.000972  
 0.000040 -0.001460  
 0.000384 -0.004643  
 0.001179 -0.007740  
 0.002550 -0.010540  
 0.004191 -0.012523  
 0.006203 -0.014205  
 0.008468 -0.015638  
 0.010870 -0.016870  
 0.015773 -0.018896  
 0.020746 -0.020480  
 0.025780 -0.021780  
 0.032521 -0.023274  
 0.039330 -0.024566  
 0.046180 -0.025670  
 0.054657 -0.026803  
 0.063151 -0.027721  
 0.071660 -0.028470  
.10182 -.03016
.13624 -.03061
.17460 -.02955
.21678 -.02692
.26259 -.02276
.31189 -.01726
.36440 -.01086
.41959 -.00404
.47679 .00277
.53527 .00917
.59420 .01477
.65267 .01924
.70971 .02232
.76431 .02384
.81546 .02372
.86213 .02201
.90338 .01888
.93829 .01454
.96583 .00941
.98516 .00454
.99636 .00118
1.0000 0.00000
