FX74_CL5_140 /tracfoil
1.00000  0.00000
0.99893  0.00082
0.99039  0.00597
0.97347  0.01407
0.94844  0.02405
0.91573  0.03570
0.87592  0.04881
0.85355  0.05583
0.82967  0.06317
0.80438  0.07069
0.77779  0.07846
0.75000  0.08629
0.72114  0.09429
0.69134  0.10223
0.66072  0.11027
0.62941  0.11807
0.59755  0.12594
0.56526  0.13353
0.53270  0.14101
0.50000  0.14801
0.46730  0.15471
0.43474  0.16051
0.40245  0.16524
0.37059  0.16780
0.33920  0.16855
0.30866  0.16720
0.27866  0.16424
0.25000  0.15959
0.22221  0.15361
0.19562  0.14610
0.17033  0.13754
0.14645  0.12791
0.12408  0.11763
 0.103320 0.106500  
 0.096904 0.102814  
 0.090547 0.099031  
 0.084270 0.095120  
 0.075547 0.089330  
 0.066990 0.083290  
 0.059181 0.077494  
 0.051560 0.071460  
 0.046976 0.067585  
 0.042480 0.063606  
  0.038060 0.059540  
 0.034120 0.055791  
 0.030265 0.051958  
 0.026530 0.048010  
 0.024065 0.045240  
 0.021666 0.042411  
 0.019326 0.039532  
 0.017040 0.036610  
 0.014487 0.033223  
 0.012007 0.029783  
 0.009610 0.026280  
 0.008178 0.024081  
 0.006797 0.021850  
 0.005486 0.019582  
 0.004260 0.017270  
 0.003046 0.014706  
 0.001976 0.012073  
 0.001070 0.009360  
 0.000468 0.007048  
 0.000051 0.004700  
 0.000000 0.000000  
 0.000214 -0.001247  
 0.000561 -0.002470  
 0.001070 -0.003660  
 0.001914 -0.004997  
 0.002990 -0.006123  
 0.004260 -0.006890  
 0.005510 -0.007187  
 0.006843 -0.007202  
 0.008222 -0.007049  
 0.009610 -0.006840  
 0.012130 -0.006561  
 0.014593 -0.006411  
 0.017040 -0.006320  
 0.021769 -0.006127  
 0.026530 -0.005870  
 0.032305 -0.005460  
 0.038060 -0.004960  
 0.042563 -0.004520  
 0.047065 -0.004032  
 0.051560 -0.003490  
 0.059280 -0.002431  
 0.066990 -0.001300  
 0.075630 -0.000053  
 0.075998 0.000000  
 0.084270 0.001200  
 0.090620 0.002153  
 0.096969 0.003116  
 0.103320 0.004060  
0.12408  0.00695
0.14645  0.01002
0.17033  0.01297
0.19562  0.01599
0.22221  0.01884
0.25000  0.02170
0.27866  0.02424
0.30866  0.02673
0.33920  0.02886
0.37059  0.03092
0.40245  0.03259
0.43474  0.03422
0.46730  0.03549
0.50000  0.03682
0.53270  0.03791
0.56526  0.03910
0.59755  0.04013
0.62941  0.04162
0.66072  0.04306
0.69134  0.04440
0.72114  0.04498
0.75000  0.04493
0.77779  0.04400
0.80438  0.04242
0.82967  0.04012
0.85355  0.03733
0.87592  0.03402
0.91573  0.02640
0.94844  0.01824
0.97347  0.01052
0.99039  0.00444
0.99893  0.00065
1.00000  0.00000
