HQ/W 3.5/15	
1.000000	0.000000
0.987500	0.003934
0.975000	0.007684
0.950000	0.015004
0.925000	0.021960
0.900000	0.028599
0.875000	0.035075
0.850000	0.041298
0.800000	0.053160
0.750000	0.064168
0.700000	0.074330
0.650000	0.083157
0.600000	0.091026
0.550000	0.097695
0.500000	0.102623
0.450000	0.105725
0.400000	0.107280
0.350000	0.107543
0.300000	0.106271
0.250000	0.103150
0.200000	0.097701
0.150000	0.089071
0.125000	0.083858
0.100000	0.075634
0.075000	0.066267
0.050000	0.054625
0.025000	0.038612
0.012500	0.026667
0.010000	0.023683
0.007500	0.020183
0.005000	0.016008
0.002500	0.010730
0.002000	0.009526
0.001500	0.008136
0.001000	0.006547
0.000500	0.004646
0.000250	0.003204
0.000100	0.002066
0.000000	0.000000
0.000100	-0.001473
0.000250	-0.002265
0.000500	-0.003131
0.001000	-0.004360
0.001500	-0.005294
0.002000	-0.006061
0.002500	-0.006671
0.005000	-0.009242
0.007500	-0.011317
0.010000	-0.013067
0.012500	-0.014545
0.025000	-0.019684
0.050000	-0.026625
0.075000	-0.031731
0.100000	-0.035296
0.125000	-0.037868
0.150000	-0.039606
0.200000	-0.041724
0.250000	-0.042588
0.300000	-0.042466
0.350000	-0.041533
0.400000	-0.039882
0.450000	-0.037475
0.500000	-0.034315
0.550000	-0.030343
0.600000	-0.025611
0.650000	-0.020005
0.700000	-0.014270
0.750000	-0.009007
0.800000	-0.004452
0.850000	-0.000628
0.875000	0.000806
0.900000	0.001874
0.925000	0.002393
0.950000	0.002307
0.975000	0.001521
0.987500	0.000842
1.000000	0.000000

http://www.hq-modellflug.de/koordinatenframe.htm
