LDS-2	AIRFOIL  /tracfoil
1	0
0.9502	0.008912
0.9005	0.017584
0.8507	0.026352
0.8008	0.035078
0.7505	0.043616
0.7009	0.051586
0.6508	0.059006
0.6006	0.065628
0.5503	0.07127
0.5	0.075742
0.4496	0.0788
0.3992	0.08018
0.3488	0.08032
0.3	0.07876
0.25	0.076
0.2	0.07166
0.175	0.0688
0.15	0.0654
0.125	0.061386
0.1	0.056496
0.075	0.050484
0.05	0.042726
0.0375	0.037762
0.025	0.0315
0.0125	0.022728
0.005	0.01458
0.002	0.009474
0	0
0.002	-0.005484
0.005	-0.008754
0.0125	-0.013108
0.025	-0.017282
0.0375	-0.02025
0.05	-0.02268
0.075	-0.02661
0.1	-0.02972
0.125	-0.03226
0.15	-0.034368
0.175	-0.03612
0.2	-0.03744
0.25	-0.03936
0.3	-0.0399
0.3488	-0.03942
0.3992	-0.0379
0.4496	-0.035574
0.5	-0.032588
0.5503	-0.029338
0.6006	-0.025976
0.6508	-0.02267
0.7009	-0.01942
0.7505	-0.016202
0.8008	-0.012994
0.8507	-0.009776
0.9005	-0.006536
0.9502	-0.003272
1	0
