Sikorsky/Lednicer & Owen SC2110 rotorcraft airfoil (SC5410)  /tracfoil
1	0.0025	
0.99	0.00355	
0.98	0.0046	
0.97	0.00565	
0.96	0.0067	
0.95	0.00775	
0.94	0.0088	
0.93	0.00985	
0.92	0.0109	
0.91	0.01195	
0.9	0.013	
0.89	0.01405	
0.88	0.0151	
0.87	0.01615	
0.86	0.0172	
0.85	0.01825
0.84	0.0193
0.83	0.02035
0.82	0.0214
0.81	0.02245
0.8	0.0235
0.79	0.02455
0.78	0.0256
0.77	0.02665
0.76	0.0277
0.75	0.02875
0.74	0.0298
0.73	0.03085
0.72	0.0319
0.71	0.03295
0.7	0.034
0.69	0.03505
0.68	0.0361
0.67	0.03715
0.66	0.0382
0.65	0.0392
0.64	0.0402
0.63	0.0411
0.62	0.042
0.61	0.0428
0.6	0.0436
0.59	0.0443
0.58	0.0449
0.57	0.0455
0.56	0.046
0.55	0.0465
0.54	0.047
0.53	0.0474
0.52	0.0478
0.51	0.0481
0.5	0.0484
0.49	0.0487
0.48	0.049
0.47	0.0492
0.46	0.0494
0.45	0.0496
0.44	0.0497
0.43	0.0498
0.42	0.0499
0.41	0.05
0.4	0.05
0.39	0.05
0.38	0.05
0.37	0.05
0.36	0.0499
0.35	0.0498
0.34	0.0497
0.33	0.0496
0.32	0.0494
0.31	0.0492
0.3	0.049
0.29	0.0487
0.28	0.0484
0.27	0.0481
0.26	0.0478
0.25	0.0474
0.24	0.047
0.23	0.0466
0.22	0.0461
0.21	0.0456
0.2	0.0451
0.19	0.0445
0.18	0.0439
0.17	0.0432
0.16	0.0425
0.15	0.0417
0.14	0.0409
0.13	0.04
0.12	0.039
0.11	0.038
0.1	0.0369
0.09	0.0357
0.08	0.0343
0.07	0.0328
0.06	0.0311
0.05	0.0292
0.04	0.027
0.03	0.0243
0.02	0.0207
0.01	0.0155
0.005	0.0116
0.002	0.0076
0	0
0.002	-0.0076
0.005	-0.0116
0.01	-0.0155
0.02	-0.0207
0.03	-0.0243
0.04	-0.027
0.05	-0.0292
0.06	-0.0311
0.07	-0.0328
0.08	-0.0343
0.09	-0.0357
0.1	-0.0369
0.11	-0.038
0.12	-0.039
0.13	-0.04
0.14	-0.0409
0.15	-0.0417
0.16	-0.0425
0.17	-0.0432
0.18	-0.0439
0.19	-0.0445
0.2	-0.0451
0.21	-0.0456
0.22	-0.0461
0.23	-0.0466
0.24	-0.047
0.25	-0.0474
0.26	-0.0478
0.27	-0.0481
0.28	-0.0484
0.29	-0.0487
0.3	-0.049
0.31	-0.0492
0.32	-0.0494
0.33	-0.0496
0.34	-0.0497
0.35	-0.0498
0.36	-0.0499
0.37	-0.05
0.38	-0.05
0.39	-0.05
0.4	-0.05
0.41	-0.05
0.42	-0.0499
0.43	-0.0498
0.44	-0.0497
0.45	-0.0496
0.46	-0.0494
0.47	-0.0492
0.48	-0.049
0.49	-0.0487
0.5	-0.0484
0.51	-0.0481
0.52	-0.0478
0.53	-0.0474
0.54	-0.047
0.55	-0.0465
0.56	-0.046
0.57	-0.0455
0.58	-0.0449
0.59	-0.0443
0.6	-0.0436
0.61	-0.0428
0.62	-0.042
0.63	-0.0411
0.64	-0.0402
0.65	-0.0392
0.66	-0.0382
0.67	-0.03715
0.68	-0.0361
0.69	-0.03505
0.7	-0.034
0.71	-0.03295
0.72	-0.0319
0.73	-0.03085
0.74	-0.0298
0.75	-0.02875
0.76	-0.0277
0.77	-0.02665
0.78	-0.0256
0.79	-0.02455
0.8	-0.0235
0.81	-0.02245
0.82	-0.0214
0.83	-0.02035
0.84	-0.0193
0.85	-0.01825
0.86	-0.0172
0.87	-0.01615
0.88	-0.0151
0.89	-0.01405
0.9	-0.013
0.91	-0.01195
0.92	-0.0109
0.93	-0.00985
0.94	-0.0088
0.95	-0.00775
0.96	-0.0067
0.97	-0.00565
0.98	-0.0046
0.99	-0.00355
1	-0.0025
