SG6043	/tracfoil
    1.000000   .000000
     .998105   .000656
     .992735   .002712
     .984387   .006072
     .973434   .010465
     .960071   .015523
     .944288   .020916
     .925966   .026547
     .905161   .032475
     .882072   .038683
     .856884   .045099
     .829794   .051648
     .801008   .058240
     .770741   .064777
     .739215   .071138
     .706663   .077173
     .673195   .082684
     .638892   .087606
     .603962   .091903
     .568537   .095505
     .532761   .098415
     .496847   .100592
     .460955   .102010
     .425276   .102690
     .389995   .102599
     .355272   .101752
     .321306   .100174
     .288269   .097880
     .256330   .094905
     .225671   .091274
     .196447   .087021
     .168817   .082199
     .142926   .076839
     .118895   .070995
     .096866   .064730
     .076936   .058094
 0.059198 0.051170  
 0.053995 0.048894  
 0.048845 0.046501  
 0.043757 0.043981  
 0.040419 0.042232  
 0.037115 0.040419  
 0.033848 0.038539  
 0.030622 0.036590  
 0.027854 0.034835  
 0.025126 0.033017  
 0.022449 0.031128  
 0.019828 0.029159  
 0.017633 0.027401  
 0.015494 0.025575  
 0.013419 0.023677  
 0.011416 0.021706  
 0.009239 0.019371  
 0.007186 0.016925  
 0.005277 0.014355  
 0.004179 0.012697  
 0.003167 0.010987  
 0.002265 0.009225  
 0.001496 0.007410  
 0.000968 0.005847  
 0.000548 0.004247  
 0.000234 0.002612  
 0.000024 0.000942  
 -0.000034 0.000000  
 -0.000066 -0.000501   
 0.000169 -0.003340  
 0.000588 -0.004677  
 0.001430 -0.006173  
 0.002574 -0.007492  
 0.003930 -0.008595  
 0.005521 -0.009511  
 0.007216 -0.010205  
 0.008978 -0.010745  
 0.010772 -0.011195  
 0.013295 -0.011772  
 0.015814 -0.012297  
 0.018337 -0.012763  
 0.020868 -0.013164  
 0.024152 -0.013580  
 0.027454 -0.013895  
 0.030768 -0.014129  
 0.034086 -0.014302  
 0.039561 -0.014492  
 0.045033 -0.014584  
 0.050504 -0.014598  
 0.055414 -0.014558  
 0.060325 -0.014477  
 0.065235 -0.014360  
 0.070145 -0.014215  
     .092915  -.013293
     .118637  -.011970
     .147117  -.010343
     .178147  -.008477
     .211498  -.006446
     .246927  -.004303
     .284172  -.002104
     .322960   .000114
     .363008   .002319
     .404014   .004498
     .445705   .006689
     .487849   .008933
     .530290   .011167
     .572862   .013270
     .615252   .015037
     .657041   .016351
     .697849   .017212
     .737347   .017604
     .775201   .017514
     .811085   .016945
     .844678   .015916
     .875671   .014467
     .903773   .012654
     .928712   .010558
     .950241   .008276
     .968141   .005908
     .982146   .003613
     .992088   .001700
     .998026   .000453
     1.00000   .000000
