time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0.0000001,-0.005462071,0.027942393,0.018998081,-7.666278839,3.947528839,-4.717877388
0.004471,-0.006630505,0.027195983,0.018146994,-7.652779102,3.903624058,-4.771654129
0.007728,-0.007165212,0.024855318,0.016337279,-7.598613262,3.874093771,-4.757563114
0.011971,-0.007165588,0.019212414,0.013890749,-7.666303635,3.786085367,-4.772103786
0.015622,-0.008122363,0.015703408,0.014741579,-7.570003033,3.787829399,-4.799170494
0.019675,-0.00695123,0.021667305,0.012079928,-7.485288143,3.746875763,-4.797285557
0.025821,-0.006082918,0.025228441,0.007752934,-7.544027328,3.716990471,-4.785814285
0.028404,-0.005994204,0.027517311,0.004630438,-7.547022343,3.675127268,-4.786350727
0.032857,-0.007590387,0.027090831,0.002928487,-7.513663292,3.67320776,-4.800352573
0.03644,-0.007590544,0.027836574,-0.000371675,-7.479106903,3.675655603,-4.801515102
0.040285,-0.00801622,0.029857794,-0.00409539,-7.475329876,3.696715832,-4.811286449
0.045682,-0.006844792,0.032306302,-0.006863145,-7.466578007,3.731862545,-4.81414032
0.045682,-0.006844792,0.032306302,-0.006863145,-7.466578007,3.731862545,-4.81414032
0.048626,-0.007590526,0.033156827,-0.009735845,-7.451193333,3.765297174,-4.808434963
0.052763,-0.008336468,0.032944173,-0.01218462,-7.423483372,3.805063725,-4.812710762
0.056285,-0.008335514,0.032199215,-0.015269397,-7.439600468,3.853498697,-4.791089058
0.060431,-0.007696282,0.032306168,-0.017610969,-7.457594872,3.881854773,-4.760902882
0.064814,-0.007803395,0.030390315,-0.019419987,-7.473908424,3.89808774,-4.768028736
0.068558,-0.008441921,0.026983604,-0.020698,-7.464662075,3.918209314,-4.746623039
0.073171,-0.008335499,0.02453671,-0.022932043,-7.483847141,3.932741642,-4.738554478
0.076428,-0.008122649,0.021129597,-0.02495488,-7.475085735,3.945102215,-4.703358173
0.080424,-0.007059225,0.02017419,-0.026548684,-7.45829916,3.955771923,-4.726882458
0.085561,-0.008443228,0.018682854,-0.027933879,-7.438873768,3.935632944,-4.702414989
0.088425,-0.008761157,0.018364226,-0.029317381,-7.429188728,3.909963369,-4.712646961
0.093229,-0.010358574,0.016873272,-0.030807804,-7.420902252,3.878946781,-4.736905098
0.096428,-0.011953681,0.016448652,-0.031977918,-7.40836525,3.860291004,-4.758520603
0.100389,-0.013124465,0.015703028,-0.031977918,-7.411435127,3.846467733,-4.762564182
0.104774,-0.013762986,0.015810106,-0.032403618,-7.403634071,3.821998596,-4.772781372
0.31819,-0.073572256,0.003464481,-0.002287098,-7.551042557,3.85713172,-4.61946249
0.421254,0.000170395,-0.007078896,0.027618371,-7.389890194,3.950679302,-4.88466835
0.425173,0.00368838,-0.005156492,0.029107021,-7.388737202,3.963990211,-4.89331007
0.430665,0.005710879,-0.002071877,0.029428098,-7.361310959,3.981207132,-4.876888275
0.437617,0.01145728,0.003993889,0.0292155,-7.357267857,3.983628273,-4.851231098
0.441237,0.013160824,0.006337626,0.029426845,-7.367427349,4.005913734,-4.833398342
0.445289,0.015607054,0.008040202,0.030490447,-7.370272636,4.020449638,-4.793252468
0.449238,0.016674226,0.009635951,0.03059875,-7.371219635,4.037656784,-4.764715672
0.453861,0.017096734,0.013040335,0.030277586,-7.384455204,4.061156273,-4.733366013
0.462207,0.016353605,0.016021559,0.031131243,-7.439806938,4.062381744,-4.687691212
0.473202,0.010821026,0.012722929,0.029002419,-7.585805416,3.923552275,-4.66321516
