xflr5 v6.32

Plane name :        Plane Name
Polar name :        T2-VLM2-proj_area_mass_change

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    1.500     0.000   0.120982   0.000920   0.011353   0.012272  -0.000000   0.000000  -0.012522   0.000000   0.000000   46.8714     0.0335
    2.000     0.000   0.155561   0.001531   0.012218   0.013749  -0.000000   0.000000  -0.017644   0.000000   0.000000   41.3349     0.0341
    2.500     0.000   0.190094   0.002297   0.012978   0.015275  -0.000000   0.000000  -0.022778   0.000000   0.000000   37.3925     0.0345
    3.000     0.000   0.224568   0.003216   0.013694   0.016910  -0.000000   0.000000  -0.027911   0.000000   0.000000   34.4028     0.0348
    3.500     0.000   0.258974   0.004290   0.014397   0.018687  -0.000000   0.000000  -0.033038   0.000000   0.000000   32.0361     0.0350
    4.000     0.000   0.293301   0.005516   0.015048   0.020564  -0.000000   0.000000  -0.038165   0.000000   0.000000   30.1031     0.0352
    4.500     0.000   0.327539   0.006894   0.015671   0.022565  -0.000000   0.000000  -0.043288   0.000000   0.000000   28.4863     0.0353
    5.000     0.000   0.361676   0.008422   0.016268   0.024691  -0.000000   0.000000  -0.048407   0.000000   0.000000   27.1087     0.0355
    5.500     0.000   0.395703   0.010101   0.016845   0.026945  -0.000000   0.000000  -0.053518   0.000000   0.000000   25.9169     0.0356
    6.000     0.000   0.429608   0.011927   0.017406   0.029333  -0.000000   0.000000  -0.058618   0.000000   0.000000   24.8732     0.0357
    6.500     0.000   0.463382   0.013900   0.017961   0.031861  -0.000000   0.000000  -0.063708   0.000000   0.000000   23.9496     0.0358
    7.000     0.000   0.497014   0.016019   0.018491   0.034510  -0.000000   0.000000  -0.068782   0.000000   0.000000   23.1251     0.0358
    7.500     0.000   0.530495   0.018282   0.018994   0.037276  -0.000000   0.000000  -0.073839   0.000000   0.000000   22.3835     0.0359
    8.000     0.000   0.563813   0.020686   0.019546   0.040232  -0.000000   0.000000  -0.078881   0.000000   0.000000   21.7120     0.0360
    8.500     0.000   0.596959   0.023231   0.020120   0.043351  -0.000000   0.000000  -0.083905   0.000000   0.000000   21.1006     0.0361
    9.000     0.000   0.629923   0.025914   0.020696   0.046610  -0.000000   0.000000  -0.088908   0.000000   0.000000   20.5411     0.0362
    9.500     0.000   0.662696   0.028734   0.021371   0.050105  -0.000000   0.000000  -0.093893   0.000000   0.000000   20.0268     0.0363
   10.000     0.000   0.695267   0.031687   0.022090   0.053777  -0.000000   0.000000  -0.098856   0.000000   0.000000   19.5520     0.0363
   10.500     0.000   0.727627   0.034773   0.022839   0.057612  -0.000000   0.000000  -0.103795   0.000000   0.000000   19.1123     0.0364
   11.000     0.000   0.759766   0.037988   0.023742   0.061730  -0.000000   0.000000  -0.108713   0.000000   0.000000   18.7037     0.0365
   11.500     0.000   0.791676   0.041330   0.024725   0.066056  -0.000000   0.000000  -0.113607   0.000000   0.000000   18.3229     0.0366
   12.000     0.000   0.823347   0.044797   0.025829   0.070626  -0.000000   0.000000  -0.118478   0.000000   0.000000   17.9670     0.0367
   12.500     0.000   0.854770   0.048386   0.027170   0.075555  -0.000000   0.000000  -0.123329   0.000000   0.000000   17.6337     0.0368
   13.000     0.000   0.885936   0.052094   0.028633   0.080726  -0.000000   0.000000  -0.128157   0.000000   0.000000   17.3208     0.0369


